,,Shot Data,,,Corsi (5v5),,,Fenwick (5v5),,,Possession Quality,,,,,Scoring Chances,,,,,,,,,
Rk,,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Tampa Bay Lightning*,8.9,0.927,101.7,3826,3595,51.6,2882,2733,51.3,185.1,172.6,206,157,37,1693,1660,50.5,380,325,53.9,71,15.7,62,16
2,Boston Bruins*,6.9,0.935,100.4,3872,3421,53.1,2955,2553,53.6,169.7,156.3,157,128,16,1579,1437,52.4,314,316,49.8,53,14.4,45,12.5
3,Calgary Flames*,8.4,0.924,100.8,3953,3386,53.9,2903,2560,53.1,184,155,188,149,10,1673,1549,51.9,357,332,51.8,71,16.6,44,11.7
4,Washington Capitals*,9.2,0.927,101.8,3715,3860,49,2768,2884,49,162.4,178,197,161,52,1624,1687,49,316,401,44.1,50,13.7,56,12.3
5,New York Islanders*,7.9,0.94,101.9,3548,3867,47.8,2616,2803,48.3,175.1,169.3,162,128,28,1631,1585,50.7,368,330,52.7,66,15.2,51,13.4
6,San Jose Sharks*,8.3,0.906,98.9,4138,3404,54.9,3021,2515,54.6,191,167.9,193,186,-16,1741,1563,52.7,431,334,56.3,69,13.8,59,15
7,Toronto Maple Leafs*,8.6,0.929,101.6,4396,4105,51.7,3184,3183,50,202,185.9,206,171,19,1930,1855,51,405,350,53.6,56,12.1,54,13.4
8,Pittsburgh Penguins*,7.6,0.935,101.2,3919,3964,49.7,2957,2943,50.1,189,172.7,182,150,16,1733,1617,51.7,392,341,53.5,56,12.5,40,10.5
9,Nashville Predators*,7.2,0.932,100.4,3904,3571,52.2,2952,2683,52.4,171.7,172,165,143,22,1617,1590,50.4,339,338,50.1,52,13.3,46,12
10,Winnipeg Jets*,7.8,0.929,100.6,3693,3853,48.9,2761,2900,48.8,159.1,173.2,168,163,19,1495,1601,48.3,317,372,46,57,15.2,64,14.7
11,Carolina Hurricanes*,6.7,0.927,99.4,4276,3528,54.8,3217,2656,54.8,197.1,153.9,161,148,-30,1879,1529,55.1,470,351,57.2,58,11,52,12.9
12,St. Louis Blues*,7.5,0.927,100.2,3718,3501,51.5,2786,2571,52,188.6,160.1,167,147,-9,1682,1584,51.5,365,297,55.1,57,13.5,58,16.3
13,Columbus Blue Jackets*,8.1,0.922,100.3,3748,3717,50.2,2910,2788,51.1,186.9,178.8,187,170,9,1672,1585,51.3,335,323,50.9,54,13.9,45,12.2
14,Montreal Canadiens,7.5,0.925,100.1,4362,3694,54.1,3139,2736,53.4,191.7,166.9,188,163,0,1748,1588,52.4,404,332,54.9,64,13.7,52,13.5
